test_col
9984670
9596961
9525067
8515767
7692024
3287263
2780400
2724900
2381741
2344858
2220093
2166086
2149690
1964375
1910931
1861484
1759540
1648195
1564110
1285216
1284000
1267000
1246700
1240192
1221037
1141748
1104300
1098581
1030700
1002450
945087
923768
916445
907132
825615
801590
783562
756102
752612
676578
652230
644329
640679
637657
622984
603500
587041
581730
580367
543940
527968
513120
505992
488100
475442
462840
450295
447400
446550
438317
406752
390757
377975
357114
342000
338424
331212
330803
323802
322463
312696
309500
301339
300000
276841
274222
262443
267668
266000
245857
242495
241550
238533
238397
236800
214969
207600
199951
196722
185180
181035
176215
176120
163820
163610
147570
147181
143100
131957
130373
120540
118484
117600
114763
112492
111369
111002
109884
108889
103000
100210
93028
92090
89342
88361
86600
83871
83600
78865
75417
71740
70273
69700
65610
65300
64559
62045
56785
56594
51209
51100
49037
48671
45227
43094
41850
41284
38394
36193
36125
33846
30528
30355
29743
28896
28748
28051
27834
27750
26338
25713
23200
22966
21041
20770
20273
18575
18272
17818
17364
14919
13943
13812
12189
12189
11586
11458
11295
10991
10887
10452
9251
9104
8660
7747
6959.41
6020
5765
5130
4167
4163
4033
3903
3900
3355
2842
3355
2586
2060
2040
1862
2060
2060
964
948
811
778
751
747
716
702
606
572
572
468
572
459
452
444
442
430
412
389
377
347
344
316
308
300
308
261
260
253.8
242
236
199
181
180
160
151
151
135
116
102
116
116
61
60
54
60
47
47
34
34
26
21
34
34
34
13
12
12
12
5
3
2.02
0.44
