col_test
5|173|857
3|018|286
2|214|137
887|536
553|188
475|902
471|012
376|870
373|056
361|442
326|712
310|825
288|690
284|121
257|600
250|566
241|811
240|804
217|167
197|921
150|115
129|913
125|396
119|404
112|947
98|701
95|314
94|459
89|055
84|619
82|670
82|323
81|580
80|949
78|778
73|651
73|401
71|713
68|850
62|525
61|768
58|564
56|189
55|104
52|668
51|791
46|973
46|140
45|439
43|629
41|003
40|410
39|919
37|054
36|603
35|160
33|568
33|237
30|609
28|099
27|660
26|712
26|436
24|961
22|972
22|802
22|253
22|033
21|084
20|423
18|303
18|042
16|620
14|598
14|442
14|208
13|687
13|343
13|086
11|894
11|839
11|175
9|615
9|454
9|083
8|267
8|085
7|923
7|875
7|706
7|611
7|584
7|169
6|705
6|517
6|510
6|411
5|623
5|604
5|338
5|232
5|041
4|821
4|696
4|658
4|649
4|641
4|080
3|902
3|664
3|588
3|351
3|227
3|128
3|068
2|953
2|949
2|858
2|841
2|596
2|565
2|470
2|306
2|269
2|252
2|249
2|152
2|134
2|052
1|958
1|936
1|895
1|804
1|678
1|572
1|569
1|335
1|290
1|283
1|252
1|234
1|233
1|225
1|188
1|175
1|157
1|090
1|089
1|046
1|003
955
942
878
878
841
804
742
712
699
681
597
563
554
509
480
405
399
360
344
336
336
303
293
290
285
279
248
214
203
197
197
189
157
146
142
138
131
126
108
92
89
69
56
53
46
31
27
25
25
24
23
20
18
17
14
13
13
13
13
12
10
9
9
4
3
